trip_duration_days,miles_traveled,total_receipts_amount,expected_output,miles_per_day,receipts_per_day,base_per_diem,is_five_day,tier1_miles,tier2_miles,log_miles,log_receipts,length_long,length_medium,length_short
3,93.0,1.42,364.51,31.0,0.47333333333333333,300,0,93.0,0.0,4.543294782270004,0.883767540168595,False,False,True
1,55.0,3.6,126.06,55.0,3.6,100,0,55.0,0.0,4.02535169073515,1.5260563034950492,False,False,True
1,47.0,17.97,128.91,47.0,17.97,100,0,47.0,0.0,3.871201010907891,2.9428587839469227,False,False,True
2,13.0,4.67,203.52,6.5,2.335,200,0,13.0,0.0,2.6390573296152584,1.7351891177396608,False,False,True
3,88.0,5.78,380.37,29.333333333333332,1.9266666666666667,300,0,88.0,0.0,4.48863636973214,1.9139771019523042,False,False,True
1,76.0,13.74,158.35,76.0,13.74,100,0,76.0,0.0,4.343805421853684,2.6905648867611904,False,False,True
3,41.0,4.52,320.12,13.666666666666666,1.5066666666666666,300,0,41.0,0.0,3.7376696182833684,1.7083778602890038,False,False,True
1,140.0,22.71,199.68,140.0,22.71,100,0,100.0,40.0,4.948759890378168,3.165896900077314,False,False,True
3,121.0,21.17,464.07,40.333333333333336,7.0566666666666675,300,0,100.0,21.0,4.804021044733257,3.09874002362822,False,False,True
3,117.0,21.99,359.1,39.0,7.329999999999999,300,0,100.0,17.0,4.770684624465665,3.1350593387750902,False,False,True
2,202.0,21.24,356.17,101.0,10.62,200,0,100.0,102.0,5.313205979041787,3.1018924693823817,False,False,True
3,80.0,21.05,366.87,26.666666666666668,7.016666666666667,300,0,80.0,0.0,4.394449154672439,3.093312601892855,False,False,True
2,21.0,20.04,204.58,10.5,10.02,200,0,21.0,0.0,3.091042453358316,3.046425387869509,False,False,True
3,177.0,18.73,430.86,59.0,6.243333333333333,300,0,100.0,77.0,5.181783550292085,2.982140320034524,False,False,True
1,141.0,10.15,195.14,141.0,10.15,100,0,100.0,41.0,4.955827057601261,2.411439497906128,False,False,True
1,58.0,5.86,117.24,58.0,5.86,100,0,58.0,0.0,4.07753744390572,1.925707441737794,False,False,True
1,133.0,8.34,179.06,133.0,8.34,100,0,100.0,33.0,4.897839799950911,2.234306252240751,False,False,True
1,59.0,8.31,120.65,59.0,8.31,100,0,59.0,0.0,4.0943445622221,2.231089091288976,False,False,True
2,89.0,13.85,234.2,44.5,6.925,200,0,89.0,0.0,4.499809670330265,2.6979998652487085,False,False,True
2,147.0,17.43,325.56,73.5,8.715,200,0,100.0,47.0,4.997212273764115,2.9139797716817317,False,False,True
5,130.0,306.9,574.1,26.0,61.379999999999995,500,1,100.0,30.0,4.875197323201151,5.729775054930455,False,True,False
5,173.0,1337.9,1443.96,34.6,267.58000000000004,500,1,100.0,73.0,5.159055299214529,7.1996036603033335,False,True,False
5,592.0,433.75,869.0,118.4,86.75,500,1,100.0,492.0,6.385194398997726,6.074771153234392,False,True,False
5,679.0,476.08,1030.41,135.8,95.216,500,1,100.0,579.0,6.522092798170152,6.167684191710468,False,True,False
5,708.0,1129.52,1654.62,141.6,225.904,500,1,100.0,608.0,6.5638555265321274,7.030432982848577,False,True,False
5,261.0,464.94,621.12,52.2,92.988,500,1,100.0,161.0,5.568344503761097,6.144056870471156,False,True,False
5,794.0,511.0,1139.94,158.8,102.2,500,1,100.0,694.0,6.678342114654332,6.238324625039508,False,True,False
5,521.0,1448.55,1624.01,104.2,289.71,500,1,100.0,421.0,6.257667587882639,7.279008442420112,False,True,False
5,595.0,863.93,1231.67,119.0,172.786,500,1,100.0,495.0,6.39024066706535,6.762648578801795,False,True,False
5,811.0,952.39,1608.6,162.2,190.478,500,1,100.0,711.0,6.699500340161678,6.860024053938709,False,True,False
5,477.0,704.42,1045.96,95.4,140.884,500,1,100.0,377.0,6.169610732491456,6.558793370107705,False,True,False
5,730.0,485.73,991.49,146.0,97.146,500,1,100.0,630.0,6.594413459749778,6.187709554553491,False,True,False
5,262.0,1173.79,1485.59,52.4,234.75799999999998,500,1,100.0,162.0,5.572154032177765,7.068844687201073,False,True,False
5,446.0,219.98,788.62,89.2,43.995999999999995,500,1,100.0,346.0,6.102558594613569,5.3980721996850285,False,True,False
5,751.0,407.43,1063.46,150.2,81.486,500,1,100.0,651.0,6.62273632394984,6.01232054098736,False,True,False
5,324.0,128.94,686.54,64.8,25.788,500,1,100.0,224.0,5.783825182329737,4.867072805452385,False,True,False
5,414.0,967.0,1368.94,82.8,193.4,500,1,100.0,314.0,6.028278520230698,6.875232087276577,False,True,False
5,367.0,290.78,742.25,73.4,58.15599999999999,500,1,100.0,267.0,5.908082938168931,5.676000093643749,False,True,False
5,764.0,848.75,1468.46,152.8,169.75,500,1,100.0,664.0,6.639875833826536,6.744942188576226,False,True,False
5,249.0,873.75,1185.24,49.8,174.75,500,1,100.0,149.0,5.521460917862246,6.773938131247798,False,True,False
8,862.0,1817.85,1719.37,107.75,227.23125,800,0,100.0,762.0,6.760414691083428,7.505959712226172,True,False,False
11,927.0,1994.33,1779.12,84.27272727272727,181.30272727272725,1100,0,100.0,827.0,6.833031732786201,7.598564729178488,True,False,False
9,602.0,186.69,1085.4,66.88888888888889,20.743333333333332,900,0,100.0,502.0,6.401917196727186,5.234791665668158,True,False,False
8,610.0,208.29,841.27,76.25,26.03625,800,0,100.0,510.0,6.415096959171596,5.343720850001886,True,False,False
12,333.0,1103.21,1618.13,27.75,91.93416666666667,1200,0,100.0,233.0,5.811140992976701,7.006885426139311,True,False,False
8,435.0,1129.65,1525.26,54.375,141.20625,800,0,100.0,335.0,6.077642243349034,7.030547967569003,True,False,False
9,218.0,1203.45,1561.63,24.22222222222222,133.71666666666667,900,0,100.0,118.0,5.389071729816501,7.0937783101929055,True,False,False
12,781.0,1159.18,1752.72,65.08333333333333,96.59833333333334,1200,0,100.0,681.0,6.661854740545311,7.05633044447621,True,False,False
11,916.0,1036.91,2098.07,83.27272727272727,94.26454545454546,1100,0,100.0,816.0,6.821107472256465,6.944964354764409,True,False,False
10,358.0,2066.62,1624.11,35.8,206.66199999999998,1000,0,100.0,258.0,5.883322388488279,7.634153466325981,True,False,False
12,566.0,2013.7,1752.03,47.166666666666664,167.80833333333334,1200,0,100.0,466.0,6.340359303727752,7.608225579921863,True,False,False
9,954.0,1483.39,2024.2,106.0,164.82111111111112,900,0,100.0,854.0,6.86171134048073,7.302759192435106,True,False,False
9,534.0,1929.94,1624.87,59.333333333333336,214.4377777777778,900,0,100.0,434.0,6.282266746896006,7.565762209962342,True,False,False
12,765.0,1343.97,1953.03,63.75,111.9975,1200,0,100.0,665.0,6.641182169740591,7.204126986954469,True,False,False
8,630.0,967.69,1388.05,78.75,120.96125,800,0,100.0,530.0,6.447305862541213,6.875944643265605,True,False,False
10,909.0,696.0,1505.19,90.9,69.6,1000,0,100.0,809.0,6.813444599510896,6.546785410760524,True,False,False
10,223.0,745.89,1037.45,22.3,74.589,1000,0,100.0,123.0,5.4116460518550396,6.61591791860021,True,False,False
8,467.0,1178.71,1483.33,58.375,147.33875,800,0,100.0,367.0,6.148468295917647,7.073023924543242,True,False,False
9,708.0,461.07,1110.6,78.66666666666667,51.23,900,0,100.0,608.0,6.5638555265321274,6.135716394755993,True,False,False
9,885.0,1764.97,1694.37,98.33333333333333,196.10777777777778,900,0,100.0,785.0,6.786716950605081,7.4764553934771465,True,False,False
6,855.0,591.35,1339.72,142.5,98.55833333333334,600,0,100.0,755.0,6.752270376141742,6.384097676400768,False,True,False
2,993.0,54.24,715.19,496.5,27.12,200,0,100.0,893.0,6.901737206656574,4.0116873285410914,False,False,True
5,685.0,747.14,1216.36,137.0,149.428,500,1,100.0,585.0,6.530877627725885,6.61759012623655,False,True,False
3,981.0,341.45,813.95,327.0,113.81666666666666,300,0,100.0,881.0,6.889591308354466,5.836125661643914,False,False,True
5,770.0,873.33,1502.49,154.0,174.666,500,1,100.0,670.0,6.647688373563329,6.773457878762979,False,True,False
6,697.0,651.64,1237.71,116.16666666666667,108.60666666666667,600,0,100.0,597.0,6.548219102762372,6.481025675569248,False,True,False
3,795.0,450.85,743.94,265.0,150.28333333333333,300,0,100.0,695.0,6.679599185844383,6.113350266347965,False,False,True
3,606.0,1184.23,1364.54,202.0,394.74333333333334,300,0,100.0,506.0,6.408528791059498,7.07769212756266,False,False,True
3,842.0,865.37,1251.14,280.6666666666667,288.45666666666665,300,0,100.0,742.0,6.736966958001855,6.764312069048505,False,False,True
7,748.0,241.73,971.31,106.85714285714286,34.53285714285714,700,0,100.0,648.0,6.618738983517219,5.491949714487858,True,False,False
7,624.0,148.16,905.79,89.14285714285714,21.165714285714284,700,0,100.0,524.0,6.437751649736401,5.00501955531062,True,False,False
2,713.0,740.33,1048.28,356.5,370.165,200,0,100.0,613.0,6.570882962339584,6.608445870289377,False,False,True
3,874.0,1191.4,1515.99,291.3333333333333,397.1333333333334,300,0,100.0,774.0,6.774223886357614,7.083723361803917,False,False,True
6,761.0,530.19,1120.1,126.83333333333333,88.36500000000001,600,0,100.0,661.0,6.635946555686647,6.275119772683821,False,True,False
1,815.0,97.89,539.36,815.0,97.89,100,0,100.0,715.0,6.704414354964107,4.5940081212819,False,False,True
1,601.0,497.7,644.12,601.0,497.7,100,0,100.0,501.0,6.400257445308821,6.212004712552077,False,False,True
7,817.0,1127.87,1809.91,116.71428571428571,161.1242857142857,700,0,100.0,717.0,6.706862336602747,7.028972411372803,True,False,False
1,606.0,923.0,1050.05,606.0,923.0,100,0,100.0,506.0,6.408528791059498,6.828712071641684,False,False,True
1,909.0,741.82,866.07,909.0,741.82,100,0,100.0,809.0,6.813444599510896,6.610453754264164,False,False,True
3,624.0,1160.92,1459.34,208.0,386.97333333333336,300,0,100.0,524.0,6.437751649736401,7.057829088225971,False,False,True
4,650.0,619.49,676.38,162.5,154.8725,400,0,100.0,550.0,6.478509642208569,6.430509488479342,False,True,False
6,204.0,818.99,628.4,34.0,136.49833333333333,600,0,100.0,104.0,5.3230099791384085,6.709292145061987,False,True,False
1,263.0,396.49,198.42,263.0,396.49,100,0,100.0,163.0,5.575949103146316,5.985169776545233,False,False,True
1,451.0,555.49,162.18,451.0,555.49,100,0,100.0,351.0,6.113682179832232,6.321649201102216,False,False,True
10,424.0,474.99,831.96,42.4,47.499,1000,0,100.0,324.0,6.052089168924417,6.165396845607379,True,False,False
2,565.0,389.49,415.96,282.5,194.745,200,0,100.0,465.0,6.338594078203183,5.967402360757223,False,False,True
